Rank,Name,Score,Avatar
139,Cameron Aavik (AoC++),127,https://avatars3.githubusercontent.com/u/5800980?v=4
141,jamie (AoC++),125,https://avatars3.githubusercontent.com/u/1093?v=4
142,Ben Buchwald (AoC++),124,https://lh3.googleusercontent.com/a-/AOh14GiIpvPG-iY6-cZMkY29QTPQshWVBj5rx1hou33lzQ=s96-c
143,Tom Sirgedas,122,https://lh5.googleusercontent.com/-JSXmJZgEV9o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnXymTHNX0dFnlGg35ju1RwqyyZ3Q/s96-c/photo.jpg
144,gurgeous (AoC++),121,https://avatars2.githubusercontent.com/u/526195?v=4
145,qpwoeirut,118,https://avatars2.githubusercontent.com/u/19750159?v=4
145,ehiggins98,118,https://avatars0.githubusercontent.com/u/7612180?v=4
147,SAXTEN2011,117,https://avatars1.githubusercontent.com/u/7394894?v=4
148,Lovemathboy H,115,https://lh6.googleusercontent.com/-WODZ-DLl14Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjjmmUaw_9FKFHgPZ1_p7KOgtgsg/s96-c/photo.jpg
148,icicl,115,https://avatars1.githubusercontent.com/u/37204445?v=4
148,Nick Frost (AoC++),115,https://avatars1.githubusercontent.com/u/839071?v=4
151,Shik Chen,114,https://lh3.googleusercontent.com/a-/AOh14Gh-51r_2UWvwiUxMrdjfU9_y1iW_ScpYHtEPFKsbQY=s96-c
151,honu 🐢 (Danny),114,http://pbs.twimg.com/profile_images/1329320696078589954/x7Ujallk.jpg
151,Måns Magnusson,114,https://avatars1.githubusercontent.com/u/2479779?v=4
154,Gabriel Kanegae,111,https://avatars0.githubusercontent.com/u/10405276?v=4
154,Johan Lindblad (AoC++),111,https://lh3.googleusercontent.com/a-/AOh14GgkN1Zxv-Ox-gfpmG4ow9yPgFB9fXCO12tQjFpHVw=s96-c
156,smartspot2,110,https://avatars3.githubusercontent.com/u/22699619?v=4
157,mrphlip (AoC++),108,https://avatars3.githubusercontent.com/u/734414?v=4
157,bcc32 (AoC++),108,https://avatars0.githubusercontent.com/u/1239097?v=4
159,Cam McKinnon,107,https://lh3.googleusercontent.com/a-/AOh14GiirWWCKtudiLLJZl9HgOFqByHigbs1jGI1SBc_=s96-c
160,Kavan Doctor,105,https://lh3.googleusercontent.com/a-/AOh14GiBjxRgCPCwpZe16u_aI5bCp3zH26AkyxpLeAIbrQ=s96-c
161,rhendric,104,https://avatars0.githubusercontent.com/u/1570964?v=4
161,ruuddotorg,104,https://avatars0.githubusercontent.com/u/3401028?v=4
163,Sam Shideler,101,https://lh6.googleusercontent.com/-ffQKUF911-I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn0qfp2786BY_2b6xsguQYNQaTkLQ/s96-c/photo.jpg
164,pfg,100,https://avatars1.githubusercontent.com/u/6010774?v=4
164,(anonymous user #199929),100,
166,Patrick Hogg,99,https://avatars1.githubusercontent.com/u/7890416?v=4
166,ephemient (AoC++),99,https://avatars1.githubusercontent.com/u/1057382?v=4
168,Ammar Fathin Sabili,98,https://lh3.googleusercontent.com/a-/AOh14GiUePDxb6B_-FRtIX1xL4McUFzqtehXHYOfUbvlfA=s96-c
168,sguest (AoC++),98,https://avatars3.githubusercontent.com/u/5026610?v=4
168,dmontagu,98,https://avatars3.githubusercontent.com/u/35119617?v=4
168,btnlq,98,https://avatars2.githubusercontent.com/u/31797752?v=4
168,(anonymous user #970329),98,
173,larry,97,
173,David Stroud,97,https://avatars2.githubusercontent.com/u/31050943?v=4
175,Alexander Haupt,96,https://avatars0.githubusercontent.com/u/56802914?v=4
175,iTODDLERS-BTFO,96,https://avatars0.githubusercontent.com/u/58968312?v=4
175,Alwinfy,96,https://avatars1.githubusercontent.com/u/20421383?v=4
178,gwillen (AoC++),95,https://avatars0.githubusercontent.com/u/458997?v=4
178,John Lekberg,95,https://avatars1.githubusercontent.com/u/9272586?v=4
178,Quentin Smith,95,https://avatars1.githubusercontent.com/u/115761?v=4
178,Gustav Kalander,95,https://lh4.googleusercontent.com/-4F5d6HB0uOI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1ZLnCU1yPEWP3FPBj7rKTO883Mg/s96-c/photo.jpg
182,Gabriel C,93,https://lh3.googleusercontent.com/a-/AOh14Giqv826KTRJmzVw0LsFM87W35NAtchJTKYJQAayqw=s96-c
183,jannic (AoC++),92,https://avatars0.githubusercontent.com/u/232606?v=4
184,orez-,91,https://avatars1.githubusercontent.com/u/1037028?v=4
185,faul_sname,90,
185,Oleg Godovykh (AoC++),90,https://avatars0.githubusercontent.com/u/2427681?v=4
187,azukun,89,https://lh6.googleusercontent.com/-RIJWxdlxeY8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn0MW5SGHzpDZLsvU7iBa79CHARiA/s96-c/photo.jpg
188,Mike Forrest (AoC++),88,https://lh3.googleusercontent.com/a-/AOh14GhbIlWio1GhxR7ArhjbEbzKgmQIknqLWQElP5SHuA=s96-c
189,Isaac Wooden,87,https://lh3.googleusercontent.com/-3H22qNQ-kEY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8fQxyeOJ_hg7ZP3uyxrmA7i32cQ/s96-c/photo.jpg
190,1lann,86,https://avatars2.githubusercontent.com/u/804919?v=4
190,Ryan Bai,86,https://lh3.googleusercontent.com/a-/AOh14GiMcSoYw6-8vs8Qv7271thLcebRPhNC4wS8yHqOBQ=s96-c
192,Matt Gruskin (AoC++),85,https://lh3.googleusercontent.com/a-/AOh14GhdZRvFr5qnK09ruc-wh0oCogyOE0gzDWYS5Qhf3Q=s96-c
192,Kate Miháliková (AoC++),85,https://avatars0.githubusercontent.com/u/7225023?v=4
194,Quelklef,83,https://avatars0.githubusercontent.com/u/14851215?v=4
194,Jouni K. Seppänen (AoC++) (Sponsor),83,https://avatars2.githubusercontent.com/u/92814?v=4
196,1000xEngineer,82,https://avatars0.githubusercontent.com/u/75281350?v=4
196,Kostero,82,https://avatars2.githubusercontent.com/u/5323546?v=4
198,Chris Smith,81,https://avatars0.githubusercontent.com/u/189133?v=4
199,Michael Goldwasser,80,https://avatars1.githubusercontent.com/u/3654371?v=4
199,Ryan Fitzgerald,80,https://avatars0.githubusercontent.com/u/345106?v=4
201,Kevin Sheng,79,https://lh3.googleusercontent.com/a-/AOh14Gj5qL2emacr-PbSZbRyuiNqFUJEmW4d3UNMVco6OA=s96-c
201,LogicalJoe,79,https://avatars0.githubusercontent.com/u/47825483?v=4
203,@matthewhuang97 (AoC++),78,http://pbs.twimg.com/profile_images/1125997762539954177/aYIbPDsq.png
204,(anonymous user #60233) (AoC++),77,
204,(anonymous user #970458),77,
204,RacecarAssassinSona,77,
204,Chris Whittle,77,https://lh5.googleusercontent.com/-hfF_Fx_3VFo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvX1NmmLF5ppxw_bE2VECTaDgNpQ/s96-c/photo.jpg
208,kejadlen (AoC++),76,https://avatars1.githubusercontent.com/u/8639?v=4
209,Gymhgy,75,https://avatars2.githubusercontent.com/u/49801033?v=4
210,kjsatz,74,https://avatars3.githubusercontent.com/u/13790237?v=4
210,Nick Gavalas,74,https://avatars2.githubusercontent.com/u/4701284?v=4
212,nathan-yan,73,https://avatars3.githubusercontent.com/u/23247388?v=4
212,Alen,73,https://avatars0.githubusercontent.com/u/7462067?v=4
212,HiggstonRainbird (AoC++),73,https://avatars1.githubusercontent.com/u/16310013?v=4
215,Jan Kuipers,72,https://lh5.googleusercontent.com/-RtJ4bt6gOvo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmClaaSIl-98wxY8GkKzKEISqjrBA/s96-c/photo.jpg
215,TAGraves,72,https://avatars1.githubusercontent.com/u/2263711?v=4
