Rank,Name,Score,Link,Avatar
113,Alexey Shmelev,191,,https://lh3.googleusercontent.com/a/ACg8ocKTbELCG6zgrLhpSn83mGPCL_T4lkscZkp0fRGaCQ1_=s96-c
113,Martin “Cifko” Štefček (AoC++),191,,https://lh3.googleusercontent.com/a/ACg8ocK6XKB6lRLLVP0D8AGeNDR1PWA2DYn4wPxJDXmiKPUOtA=s96-c
116,Bradley Louie,187,,https://lh3.googleusercontent.com/a/ACg8ocIe3vxUqeDAf46qSvhfLKdVTezg39yJq3LX1mtdv0XM=s96-c
117,mwk48,185,https://github.com/mwk48,https://avatars.githubusercontent.com/u/12641787?v=4
118,zvdy,184,https://github.com/zvdy,https://avatars.githubusercontent.com/u/78762257?v=4
119,coolcomputery,180,https://github.com/coolcomputery,https://avatars.githubusercontent.com/u/52200199?v=4
120,Omkar Bhalerao,179,https://github.com/obhalerao,https://avatars.githubusercontent.com/u/28026975?v=4
121,swhitt,176,https://github.com/swhitt,https://avatars.githubusercontent.com/u/239?v=4
121,Kroppeb (AoC++),176,https://github.com/Kroppeb,https://avatars.githubusercontent.com/u/7889478?v=4
123,Xavier Cooney,173,,https://lh3.googleusercontent.com/a/ACg8ocKNKf74m4ZxFTpw0WGikxIbBoKggz6yq4Sa8neLC9B3_nE=s96-c
123,Anthony Li,173,https://github.com/anli5005,https://avatars.githubusercontent.com/u/7005789?v=4
125,Level 51,172,,https://avatars.githubusercontent.com/u/3511593?v=4
126,Nick Gavalas (AoC++),171,https://github.com/ngavalas,https://avatars.githubusercontent.com/u/4701284?v=4
127,Robert P,170,,https://lh3.googleusercontent.com/a/ACg8ocIvfTkX1qKCy0FvsnAOlX1_v0ncP1bpA_aZHTCdbj82Jg=s96-c
128,Etienne Vouga,169,,https://lh3.googleusercontent.com/a/ACg8ocJzM3Nea4dU_2Y32UwK3R27kYt5KNaACE4Ct0nMtADX=s96-c
129,vstrimaitis,168,https://github.com/vstrimaitis,https://avatars.githubusercontent.com/u/14166032?v=4
130,One,166,,https://avatars.githubusercontent.com/u/33045716?v=4
130,(anonymous user #2698856),166,,
132,sopyb (AoC++),165,https://github.com/sopyb,https://avatars.githubusercontent.com/u/32602702?v=4
132,Springo (AoC++),165,https://github.com/Springo,https://avatars.githubusercontent.com/u/6750671?v=4
132,James Satherley,165,,https://avatars.githubusercontent.com/u/72740217?v=4
